x,y
0.0000,1.1257
0.2564,1.3807
0.5128,2.6661
0.7692,2.6434
1.0256,2.5156
1.2821,3.9257
1.5385,5.3809
1.7949,5.5368
2.0513,4.3988
2.3077,4.3500
2.5641,5.5049
2.8205,6.6824
3.0769,4.8288
3.3333,7.4479
3.5897,6.9336
3.8462,7.9600
4.1026,8.6609
4.3590,9.4016
4.6154,10.6424
4.8718,11.7861
5.1282,11.1279
5.3846,13.1357
5.6410,11.6169
5.8974,13.1464
6.1538,14.2112
6.4103,13.9145
6.6667,13.5898
6.9231,13.9244
7.1795,14.9012
7.4359,16.0920
7.6923,15.3750
7.9487,16.6883
8.2051,17.2510
8.4615,18.4639
8.7179,18.6506
8.9744,19.3041
9.2308,18.8077
9.4872,19.8447
9.7436,21.2712
10.0000,22.4934
